Open,High,Low,Close
127.48,127.83,127.01,127.01
127.05,127.73,127.05,127.39
127.39,127.67,126.90,126.94
126.94,127.05,126.58,126.81
126.81,127.08,126.21,126.29
126.29,126.76,125.91,126.31
126.31,126.99,126.29,126.81
126.81,127.39,126.80,127.25
127.25,127.71,127.05,127.71
127.71,127.74,127.00,127.09
127.09,127.45,126.81,126.93
126.93,127.82,126.46,127.64
127.64,127.69,127.08,127.54
127.55,127.72,126.63,127.15
127.15,127.64,126.65,126.72
126.72,126.88,126.21,126.52
126.52,126.81,126.29,126.38
126.38,126.90,126.17,126.29
126.29,127.21,126.04,127.12
127.12,127.62,127.12,127.62
127.62,128.09,127.57,127.75
127.75,127.89,127.37,127.81
127.81,128.27,127.81,127.95
127.95,128.07,127.52,127.73
127.73,128.00,127.52,127.89
127.89,128.09,127.41,127.86
127.86,128.27,127.71,128.10
128.10,128.65,128.08,128.22
128.22,128.51,127.88,128.23
128.23,128.43,127.89,128.15
128.15,128.89,127.71,128.54
128.54,128.82,128.36,128.42
128.42,128.56,128.25,128.48
128.48,129.00,128.42,128.74
128.74,128.74,128.44,128.49
128.49,128.75,128.20,128.64
128.66,128.66,127.88,127.88
127.88,128.00,127.55,127.64
127.64,128.47,127.50,128.46
128.46,128.72,127.86,127.98
127.98,128.11,127.15,127.36
127.36,127.73,127.32,127.52
127.52,127.81,127.21,127.79
127.79,127.81,127.36,127.39
127.39,127.72,127.19,127.70
127.70,128.50,127.70,128.48
128.48,128.86,128.35,128.63
128.63,128.90,128.61,128.71
128.68,128.90,128.40,128.54
128.54,128.66,128.39,128.50
128.48,128.70,128.25,128.39
128.39,128.39,127.40,127.48
127.49,127.63,127.27,127.35
127.35,127.64,127.00,127.11
127.11,127.63,127.11,127.56
127.56,128.21,127.56,127.96
128.09,128.40,127.92,128.30
128.30,128.35,127.78,127.81
127.81,127.97,127.55,127.76
127.76,127.93,127.59,127.89
127.97,128.44,127.71,128.38
128.38,128.83,128.32,128.58
128.58,128.58,128.00,128.10
128.16,128.33,128.00,128.14
128.17,128.22,127.40,127.60
127.60,128.07,127.49,128.05
128.02,128.58,127.93,128.48
128.49,128.51,128.05,128.24
128.24,129.31,128.06,129.10
129.13,129.50,129.09,129.27
129.27,129.56,129.07,129.40
129.39,129.64,129.31,129.40
129.40,129.48,129.13,129.32
129.32,129.32,128.63,128.67
128.69,128.88,128.48,128.80
128.80,129.52,128.80,129.38
129.38,129.61,129.30,129.55
129.55,129.55,129.20,129.23
129.18,129.38,129.11,129.19
129.19,129.54,129.12,129.26
129.26,129.28,128.89,129.06
129.06,129.31,128.97,129.25
129.25,129.47,129.22,129.37
129.37,129.58,128.86,129.02
129.02,129.03,128.41,128.51
128.51,128.58,128.16,128.38
128.38,128.63,128.38,128.57
128.57,128.63,128.26,128.27
128.27,128.41,127.70,127.92
127.92,128.33,127.76,128.21
128.21,128.24,127.76,127.80
127.80,127.90,127.65,127.86
127.88,128.00,127.12,127.14
127.14,127.86,126.93,127.77
127.83,128.11,127.64,127.94
127.95,128.26,127.82,128.04
128.04,128.17,127.80,128.17
128.17,128.64,128.11,128.59
128.59,128.95,128.41,128.79
128.79,129.07,128.53,128.94
128.97,129.27,128.96,129.26
129.26,129.27,128.91,128.93
128.95,129.12,128.72,128.94
128.94,128.96,128.59,128.62
128.62,128.62,128.29,128.43
128.43,128.71,128.43,128.67
128.67,129.00,128.62,128.65
128.65,129.10,128.65,128.86
128.86,128.99,128.57,128.76
128.77,129.08,128.72,128.90
128.90,128.92,128.22,128.29
128.29,128.41,127.71,127.73
127.73,127.91,127.69,127.83
127.83,128.40,127.38,128.40
128.40,128.47,128.15,128.25
128.25,128.45,128.07,128.22
128.27,128.31,127.75,128.28
128.27,128.64,128.27,128.40
128.40,128.84,128.25,128.84
128.84,129.14,128.77,128.97
129.06,129.10,128.74,128.75
128.76,128.76,128.40,128.50
128.50,129.00,128.50,128.80
128.80,129.41,128.61,129.33
129.33,129.39,129.17,129.21
129.22,129.28,128.89,128.96
128.96,129.05,128.77,128.88
128.85,129.06,128.65,128.96
128.96,129.29,128.86,129.17
129.18,129.70,129.04,129.44
129.44,129.44,128.91,129.10
129.08,129.64,129.03,129.61
129.63,129.66,129.36,129.53
129.54,129.63,129.02,129.02
129.02,129.35,128.77,129.32
129.32,129.73,129.26,129.62
129.62,129.91,129.39,129.43
129.43,129.68,129.28,129.68
129.63,129.65,129.31,129.32
129.32,129.32,128.68,129.01
129.01,129.03,128.46,128.78
128.76,129.01,128.65,128.88
128.88,129.10,128.72,128.89
128.89,129.54,128.89,129.24
129.24,129.25,128.53,128.55
128.51,128.64,128.18,128.23
128.23,128.36,128.04,128.08
128.08,128.21,127.89,127.97
127.97,128.10,127.75,128.03
128.03,128.03,127.61,127.65
127.66,127.99,127.66,127.79
127.79,128.11,127.74,128.10
128.10,128.30,128.00,128.12
128.12,128.34,128.04,128.16
128.16,128.50,128.00,128.07
128.07,128.31,128.00,128.06
128.06,128.06,127.61,127.72
127.72,127.88,127.21,127.39
127.39,127.58,127.20,127.30
127.36,127.36,126.64,126.64
126.64,126.72,126.33,126.65
126.65,126.65,126.25,126.44
126.41,126.59,126.27,126.42
126.45,126.76,126.31,126.58
126.58,126.90,126.39,126.59
126.59,126.59,125.92,126.18
126.20,126.35,125.80,125.82
125.82,126.29,125.82,125.99
125.99,126.37,125.91,126.28
126.28,126.50,125.93,126.48
126.48,126.50,125.91,125.91
125.92,126.06,125.63,125.89
125.89,125.89,125.54,125.82
125.81,125.82,125.44,125.55
125.55,125.55,125.15,125.41
125.41,125.55,125.27,125.54
125.55,126.07,125.55,125.97
125.97,126.20,125.60,126.14
126.14,126.14,125.60,125.76
125.76,126.11,125.42,125.47
125.47,125.47,124.74,124.79
124.79,124.95,124.50,124.92
124.93,125.00,124.41,124.65
124.65,124.86,124.20,124.53
124.53,124.62,124.24,124.28
124.22,124.75,124.00,124.49
124.49,124.75,124.21,124.24
124.24,124.24,123.18,123.22
123.22,124.00,123.20,123.97
123.97,123.97,123.30,123.30
123.30,123.47,123.09,123.11
123.11,123.83,123.11,123.81
123.81,124.34,123.81,123.84
123.84,123.92,123.51,123.69
123.69,123.78,122.71,122.80
122.80,123.06,122.32,122.40
122.39,122.54,122.13,122.44
122.41,122.94,122.13,122.90
122.90,123.05,122.33,122.91
122.91,123.79,122.80,123.78
123.78,124.45,123.78,124.45
124.45,125.12,124.26,124.96
124.96,124.99,124.36,124.51
124.53,124.53,124.01,124.23
124.23,124.23,123.63,123.63
123.63,123.66,123.12,123.18
123.18,123.50,122.96,123.02
123.02,123.07,122.22,122.30
122.30,123.00,122.30,122.87
122.85,122.88,122.24,122.28
122.28,122.85,122.05,122.73
122.73,123.04,122.23,122.96
122.97,123.00,122.36,122.88
