Open,High,Low,Close,Moving Average 200,Moving Average 50,Exp Moving Average 10,Exp Moving Average 20
295.01,295.06,294.53,294.81,287.50,284.83,292.26,289.40
294.81,295.78,294.76,295.77,287.55,284.92,292.90,290.01
295.78,295.79,295.34,295.59,287.59,285.01,293.39,290.54
295.59,295.94,295.39,295.64,287.64,285.13,293.80,291.02
295.65,296.07,295.41,295.68,287.68,285.32,294.14,291.47
295.68,295.98,295.34,295.78,287.72,285.53,294.44,291.88
295.79,296.75,294.94,294.94,287.77,285.71,294.53,292.17
294.41,294.73,293.52,294.65,287.81,285.91,294.55,292.41
294.67,295.88,294.61,295.08,287.85,286.13,294.65,292.66
295.07,295.43,294.20,295.28,287.89,286.40,294.76,292.91
295.27,295.79,294.93,295.77,287.93,286.69,294.95,293.18
295.78,295.99,295.21,295.46,287.97,286.96,295.04,293.40
295.45,295.68,294.89,295.17,288.00,287.24,295.06,293.57
295.17,295.34,294.73,295.22,288.03,287.53,295.09,293.73
295.22,295.47,294.95,295.36,288.08,287.82,295.14,293.88
295.35,295.68,295.19,295.50,288.12,288.14,295.21,294.03
295.50,296.04,295.05,295.71,288.16,288.45,295.30,294.19
295.72,296.21,293.73,294.04,288.20,288.70,295.07,294.18
294.05,295.83,293.69,294.81,288.24,289.06,295.02,294.24
294.80,294.80,291.95,292.21,288.26,289.36,294.51,294.05
295.83,296.79,295.57,296.61,288.31,289.69,294.89,294.29
296.61,297.55,296.47,297.31,288.36,290.04,295.33,294.58
297.32,297.50,296.95,297.09,288.40,290.39,295.65,294.82
297.09,297.87,296.93,297.76,288.46,290.73,296.03,295.10
297.76,297.87,297.48,297.58,288.51,291.03,296.32,295.33
297.57,297.74,296.52,296.90,288.54,291.30,296.42,295.48
296.90,297.08,296.10,296.89,288.56,291.60,296.51,295.62
296.87,296.99,295.97,296.20,288.58,291.87,296.45,295.67
296.20,296.86,296.15,296.50,288.60,292.16,296.46,295.75
296.50,296.95,295.81,296.26,288.62,292.40,296.42,295.80
296.26,297.43,296.16,297.11,288.64,292.65,296.55,295.92
297.11,297.25,296.22,297.17,288.65,292.91,296.66,296.04
297.16,297.34,296.29,296.96,288.67,293.17,296.72,296.13
296.80,297.67,296.27,297.14,288.68,293.45,296.79,296.23
297.13,297.43,296.36,296.79,288.70,293.73,296.79,296.28
296.80,296.80,295.26,295.83,288.71,293.99,296.62,296.24
295.83,295.83,293.69,294.30,288.71,294.19,296.20,296.05
294.33,295.35,294.23,294.87,288.72,294.40,295.95,295.94
294.87,295.93,294.85,295.38,288.74,294.61,295.85,295.89
295.37,295.46,294.58,294.95,288.75,294.81,295.69,295.80
294.95,295.82,294.73,295.29,288.77,295.00,295.61,295.75
295.29,295.45,294.84,295.19,288.79,295.21,295.54,295.70
295.19,295.81,295.09,295.66,288.82,295.42,295.56,295.69
295.66,295.80,294.38,294.72,288.85,295.59,295.41,295.60
294.72,295.66,294.71,295.30,288.88,295.63,295.39,295.57
295.30,295.48,294.51,294.88,288.90,295.66,295.30,295.51
294.56,294.85,293.37,294.28,288.93,295.65,295.11,295.39
294.28,294.37,293.22,294.36,288.95,295.64,294.97,295.29
294.36,294.53,293.35,293.46,288.97,295.60,294.70,295.12
293.43,294.65,293.28,293.72,288.99,295.58,294.52,294.98
293.72,294.19,293.52,293.98,289.01,295.56,294.42,294.89
293.98,294.22,293.67,294.01,289.05,295.53,294.35,294.80
294.03,294.73,294.02,294.43,289.10,295.50,294.36,294.77
294.42,294.83,294.30,294.68,289.15,295.48,294.42,294.76
294.68,294.82,294.36,294.75,289.20,295.47,294.48,294.76
294.76,295.36,294.72,295.14,289.26,295.45,294.60,294.80
295.14,295.45,294.77,295.04,289.33,295.45,294.68,294.82
295.03,295.28,294.25,294.56,289.39,295.45,294.66,294.79
294.58,295.63,294.44,295.44,289.45,295.46,294.80,294.86
301.96,302.19,300.66,300.84,289.55,295.57,295.90,295.43
300.83,301.39,300.37,301.36,289.64,295.68,296.89,295.99
301.35,301.54,300.84,301.30,289.74,295.80,297.69,296.50
301.29,301.58,300.35,300.87,289.83,295.91,298.27,296.91
300.87,300.88,299.90,300.41,289.91,296.02,298.66,297.25
300.41,300.71,300.08,300.37,290.01,296.12,298.97,297.54
300.37,301.08,300.36,301.03,290.11,296.23,299.34,297.88
301.04,301.47,300.89,301.42,290.22,296.34,299.72,298.21
301.42,301.47,301.09,301.11,290.32,296.48,299.97,298.49
301.14,301.45,301.02,301.24,290.42,296.61,300.20,298.75
301.24,301.34,300.74,301.04,290.51,296.79,300.36,298.97
301.04,301.08,300.52,300.70,290.61,296.87,300.42,299.13
300.72,300.93,298.69,299.20,290.70,296.91,300.20,299.14
302.14,302.22,299.57,299.89,290.79,296.96,300.14,299.21
299.91,300.59,299.27,299.91,290.89,297.01,300.10,299.28
299.91,299.91,296.87,298.04,290.96,297.02,299.73,299.16
298.04,298.96,297.41,298.93,291.04,297.06,299.58,299.14
298.93,299.62,297.54,299.55,291.12,297.11,299.57,299.18
299.54,300.22,299.28,299.73,291.18,297.18,299.60,299.23
299.75,300.52,299.56,300.17,291.24,297.25,299.71,299.32
300.17,300.49,299.45,300.27,291.31,297.34,299.81,299.41
300.28,300.43,299.67,300.36,291.36,297.40,299.91,299.50
300.36,301.54,300.36,301.21,291.43,297.48,300.15,299.66
301.22,301.78,300.84,301.74,291.49,297.58,300.44,299.86
301.74,302.11,301.38,302.02,291.56,297.67,300.72,300.07
302.02,303.57,301.57,303.48,291.63,297.81,301.22,300.39
304.69,304.87,303.32,304.16,291.71,297.97,301.76,300.75
304.15,304.93,303.67,304.45,291.79,298.18,302.25,301.10
304.46,305.19,304.14,305.09,291.87,298.38,302.76,301.48
