Date,Open,High,Low,Close,FW Moving Average 25
2/22/2017,236.02,236.54,235.83,236.28,231.80
2/23/2017,236.90,236.90,235.56,236.44,232.28
2/24/2017,235.42,236.79,235.41,236.74,232.76
2/27/2017,236.61,237.31,236.35,237.11,233.23
2/28/2017,236.71,236.95,236.02,236.47,233.62
3/1/2017,238.40,240.32,238.37,239.78,234.24
3/2/2017,239.57,239.57,238.21,238.27,234.70
3/3/2017,238.19,238.61,237.73,238.42,235.14
3/6/2017,237.48,238.12,237.01,237.71,235.50
3/7/2017,237.39,237.77,236.76,237.00,235.78
3/8/2017,237.31,237.64,236.40,236.56,236.00
3/9/2017,236.71,237.24,235.74,236.86,236.21
3/10/2017,237.95,238.02,236.59,237.69,236.46
3/13/2017,237.59,237.86,237.24,237.81,236.69
3/14/2017,237.22,237.24,236.19,236.90,236.82
3/15/2017,237.56,239.44,237.29,238.95,237.08
3/16/2017,239.12,239.20,238.10,238.48,237.28
3/17/2017,237.75,237.97,237.03,237.03,237.33
3/20/2017,237.01,237.36,236.32,236.77,237.35
3/21/2017,237.49,237.61,233.58,233.73,237.12
3/22/2017,233.73,234.61,233.05,234.28,236.92
3/23/2017,233.98,235.34,233.60,234.03,236.71
3/24/2017,234.35,235.04,232.96,233.86,236.49
3/27/2017,231.97,233.92,231.61,233.62,236.24
3/28/2017,233.32,235.81,233.14,235.32,236.14
3/29/2017,235.00,235.81,234.73,235.54,236.05
3/30/2017,235.50,236.52,235.27,236.29,236.03
3/31/2017,235.91,236.51,235.68,235.74,235.96
4/3/2017,235.79,236.03,233.91,235.33,235.87
4/4/2017,235.00,235.58,234.56,235.48,235.79
4/5/2017,236.26,237.39,234.54,234.78,235.66
4/6/2017,234.96,236.04,234.43,235.44,235.60
4/7/2017,235.18,236.00,234.64,235.20,235.52
4/10/2017,235.36,236.26,234.73,235.34,235.47
4/11/2017,234.90,235.18,233.34,235.06,235.41
4/12/2017,234.80,234.96,233.77,234.03,235.27
4/13/2017,233.65,234.49,232.51,232.51,235.02
4/17/2017,233.12,234.57,232.88,234.57,234.94
4/18/2017,233.71,234.49,233.08,233.87,234.82
4/19/2017,234.52,234.95,233.18,233.44,234.68
4/20/2017,234.14,235.85,233.78,235.34,234.69
4/21/2017,235.22,235.31,234.13,234.59,234.66
4/24/2017,237.17,237.41,236.61,237.17,234.84
4/25/2017,237.93,238.95,237.81,238.55,235.12
4/26/2017,238.53,239.53,238.35,238.40,235.39
